"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1930","1930-07-13  ","France",4,1,"Mexico",0,NA,"France","Mexico",FALSE,NA,NA
"finals","wc_1930","1930-07-15  ","France",0,1,"Argentina",0,NA,"Argentina","France",FALSE,NA,NA
"finals","wc_1930","1930-07-16  ","Mexico",0,3,"Chile",0,NA,"Chile","Mexico",FALSE,NA,NA
"finals","wc_1930","1930-07-19  ","France",0,1,"Chile",0,NA,"Chile","France",FALSE,NA,NA
"finals","wc_1930","1930-07-19  ","Mexico",3,6,"Argentina",0,NA,"Argentina","Mexico",FALSE,NA,NA
"finals","wc_1930","1930-07-22  ","Argentina",3,1,"Chile",0,NA,"Argentina","Chile",FALSE,NA,NA
"finals","wc_1930","1930-07-14  ","Serbia/Yugoslavia",2,1,"Brazil",0,NA,"Serbia/Yugoslavia","Brazil",FALSE,NA,NA
"finals","wc_1930","1930-07-17  ","Serbia/Yugoslavia",4,0,"Bolivia",0,NA,"Serbia/Yugoslavia","Bolivia",FALSE,NA,NA
"finals","wc_1930","1930-07-20  ","Brazil",4,0,"Bolivia",0,NA,"Brazil","Bolivia",FALSE,NA,NA
"finals","wc_1930","1930-07-14  ","Romania",3,1,"Peru",0,NA,"Romania","Peru",FALSE,NA,NA
"finals","wc_1930","1930-07-18  ","Uruguay",1,0,"Peru",0,NA,"Uruguay","Peru",FALSE,NA,NA
"finals","wc_1930","1930-07-21  ","Uruguay",4,0,"Romania",0,NA,"Uruguay","Romania",FALSE,NA,NA
"finals","wc_1930","1930-07-13  ","USA",3,0,"Belgium",0,NA,"USA","Belgium",FALSE,NA,NA
"finals","wc_1930","1930-07-17  ","USA",3,0,"Paraguay",0,NA,"USA","Paraguay",FALSE,NA,NA
"finals","wc_1930","1930-07-20  ","Paraguay",1,0,"Belgium",0,NA,"Paraguay","Belgium",FALSE,NA,NA
"finals","wc_1930","1930-07-26  ","Argentina",6,1,"USA",0,NA,"Argentina","USA",FALSE,NA,NA
"finals","wc_1930","1930-07-27  ","Uruguay",6,1,"Serbia/Yugoslavia",0,NA,"Uruguay","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1930","  1930-07-30","Uruguay",4,2,"Argentina",0,NA,"Uruguay","Argentina",FALSE,NA,NA
"finals","wc_1934","1934-05-27  ","Germany",5,2,"Belgium",0,NA,"Germany","Belgium",FALSE,NA,NA
